Country,Year,Domestic Consumption,Exports,Imports
Turkey,2016,960,0,960
Turkey,2017,865,0,865
Turkey,2018,1205,0,1205
Turkey,2019,1215,0,1215
Turkey,2020,1165,0,1165
Turkey,2021,1285,0,1285
Turkey,2022,1590,0,1590
Turkey,2023,1530,0,1530
Uganda,2013,220,3600,0
Uganda,2014,230,3350,0
Uganda,2015,250,3300,0
Uganda,2016,250,4600,0
Uganda,2017,250,4300,0
Uganda,2018,250,4450,0
Uganda,2019,100,5350,0
Uganda,2020,100,6514,0
Uganda,2021,125,5850,0
Uganda,2022,300,6250,0
Uganda,2023,325,6515,0
Ukraine,2013,1155,0,1155
Ukraine,2014,1025,0,1025
Ukraine,2015,970,0,970
Ukraine,2016,960,0,960
Ukraine,2017,1105,0,1105
Ukraine,2018,1145,0,1145
Ukraine,2019,1270,0,1270
Ukraine,2020,1235,0,1235
Ukraine,2021,1300,0,1300
Ukraine,2022,1080,0,1080
Ukraine,2023,1000,0,1000
United Kingdom,2013,0,0,0
United Kingdom,2014,0,0,0
United Kingdom,2015,0,0,0
United Kingdom,2016,4260,0,4260
United Kingdom,2017,3610,0,3610
United Kingdom,2018,3875,0,3875
United Kingdom,2019,3805,0,3805
United Kingdom,2020,2955,0,2955
United Kingdom,2021,3985,0,3985
United Kingdom,2022,3980,0,3980
United Kingdom,2023,4200,0,4200
United States,2013,23811,580,24915
United States,2014,23568,380,23995
United States,2015,25083,60,25185
United States,2016,25512,0,26470
United States,2017,25557,0,24775
United States,2018,27162,0,28020
United States,2019,26049,0,25060
United States,2020,25922,0,25510
United States,2021,26723,0,27040
United States,2022,24623,0,23905
United States,2023,25475,0,25425
Uruguay,2013,20,0,20
Uruguay,2014,15,0,15
Uruguay,2015,20,0,20
Uruguay,2016,15,0,15
Uruguay,2017,20,0,20
Uruguay,2018,20,0,20
Uruguay,2019,20,0,20
Uruguay,2020,35,0,35
Uruguay,2021,40,0,40
Uruguay,2022,35,0,35
Uruguay,2023,40,0,40
Venezuela,2013,1170,50,506
Venezuela,2014,1151,30,687
Venezuela,2015,1151,30,672
Venezuela,2016,1133,8,602
Venezuela,2017,1217,8,652
Venezuela,2018,1214,16,652
Venezuela,2019,556,5,2
Venezuela,2020,466,5,2
Venezuela,2021,496,5,2
Venezuela,2022,501,5,2
Venezuela,2023,498,5,2
Vietnam,2013,2008,28289,648
Vietnam,2014,2217,21567,590
Vietnam,2015,2630,29065,630
Vietnam,2016,2770,26450,1000
Vietnam,2017,2880,29907,1060
Vietnam,2018,2940,28318,1160
Vietnam,2019,3100,27326,700
Vietnam,2020,2720,25300,550
Vietnam,2021,3200,29010,550
Vietnam,2022,3200,27740,499
Vietnam,2023,3200,25000,720
Yemen,2013,125,10,0
Yemen,2014,124,6,0
Yemen,2015,0,0,0
Yemen,2016,0,0,0
Yemen,2017,0,0,0
Yemen,2018,0,0,0
Yemen,2019,0,0,0
Yemen,2020,0,0,0
Yemen,2021,0,0,0
Yemen,2022,0,0,0
Yemen,2023,0,0,0
Yemen (Sanaa),2013,0,0,0
Yemen (Sanaa),2014,0,0,0
Yemen (Sanaa),2015,0,0,0
Yemen (Sanaa),2016,0,0,0
Yemen (Sanaa),2017,0,0,0
Yemen (Sanaa),2018,0,0,0
Yemen (Sanaa),2019,0,0,0
Yemen (Sanaa),2020,0,0,0
Yemen (Sanaa),2021,0,0,0
Yemen (Sanaa),2022,0,0,0
Yemen (Sanaa),2023,0,0,0
Zambia,2013,0,0,0
Zambia,2014,0,0,0
Zambia,2015,0,0,0
Zambia,2016,0,0,0
Zambia,2017,0,0,0
Zambia,2018,0,0,0
Zambia,2019,0,0,0
Zambia,2020,0,0,0
Zambia,2021,0,0,0
Zambia,2022,0,0,0
Zambia,2023,0,0,0
Zimbabwe,2013,0,0,0
Zimbabwe,2014,0,0,0
Zimbabwe,2015,0,0,0
Zimbabwe,2016,0,0,0
Zimbabwe,2017,0,0,0
Zimbabwe,2018,0,0,0
Zimbabwe,2019,0,0,0
Zimbabwe,2020,0,0,0
Zimbabwe,2021,0,0,0
Zimbabwe,2022,0,0,0
Zimbabwe,2023,0,0,0
